"","abbrev","site","standunique","fstype","fstypename","stockdens","siteage","logged","year","jd","time","temp","obs","firstyr","X1","X2","X3","W1","W2","W3","W4","W5","W6","W7","W8","W9","N","year.unscale","temp.unscale","jd.unscale","time.unscale","siteage.unscale"
"2868","OVEN","158","203","029","Red pine","9",0.0616881325366584,0,-0.284717994237633,0.0462912165696997,0.356591562894517,-0.64489007926787,"85",1,1,0,1,1,0,0,0,0,0,0,0,1,2,"2010",54,179,7.28333333333333,100
"2874","OVEN","159","203","029","Red pine","9",0.231590627691841,0,1.46492000261015,-2.22944472059888,-0.688919301339347,-1.20362113827748,"87",0,2,1,2,2,0,1,0,0,1,1,0,0,5,"2013",50,171,6.01666666666667,103
"2876","OVEN","159","203","029","Red pine","9",0.174956462640114,0,0.881707336994224,0.330758208715772,1.33331881763931,1.72971692152296,"91",1,1,1,1,1,0,1,0,1,0,0,0,0,3,"2012",71,180,8.46666666666667,102
"2877","OVEN","159","203","029","Red pine","9",0.118322297588386,0,0.298494671378296,-0.807109759868518,0.728023054135495,0.0535237444941372,"87",1,5,0,0,5,0,0,0,0,0,0,0,0,5,"2011",59,176,7.73333333333333,101
"2879","OVEN","159","203","029","Red pine","9",0.0616881325366584,0,-0.284717994237633,0.0462912165696997,0.535428947566099,-0.64489007926787,"85",1,2,1,1,2,0,1,0,0,0,1,0,0,4,"2010",54,179,7.5,100
"2883","OVEN","159","203","029","Red pine","9",0.00505396748493073,0,-0.867930659853561,1.75309316944614,-0.647649135645905,-1.34330390302988,"81",1,1,0,0,1,0,0,0,0,0,0,0,0,1,"2009",49,185,6.06666666666667,99
"2886","OVEN","159","203","029","Red pine","9",-0.0515801975667969,0,-1.45114332546949,0.899692193007918,-0.647649135645905,-1.20468620897943,"79",1,2,2,0,2,0,0,2,0,0,0,0,0,4,"2008",49.9923750743061,182,6.06666666666667,98
"2895","OVEN","160","203","029","Red pine","9",-0.0515801975667969,0,-0.284717994237633,0.0462912165696997,0.741779776033309,-0.64489007926787,"85",1,2,0,2,1,1,0,0,1,0,1,0,0,4,"2010",54,179,7.75,98
"2896","OVEN","160","203","029","Red pine","9",0.00505396748493073,0,0.298494671378296,-0.807109759868518,0.920617160704891,0.0535237444941372,"87",1,3,0,1,3,0,0,0,1,0,0,0,0,4,"2011",59,176,7.96666666666667,99
"2897","OVEN","160","203","029","Red pine","9",0.118322297588386,0,1.46492000261015,-2.22944472059888,-0.482568472872137,-1.20362113827748,"87",0,2,2,0,1,1,1,1,0,0,0,0,0,4,"2013",50,171,6.26666666666667,101
"2899","OVEN","160","203","029","Red pine","9",-0.164848527670252,0,-1.45114332546949,0.899692193007918,-0.455055029076509,-1.10619979641454,"79",1,3,0,0,3,0,0,0,0,0,0,0,0,3,"2008",50.6974471190889,182,6.3,96
"2901","OVEN","160","203","029","Red pine","9",-0.108214362618525,0,-0.867930659853561,1.75309316944614,-0.826486520317487,-1.34330390302988,"81",1,2,2,0,2,0,0,2,0,0,0,0,0,4,"2009",49,185,5.85,97
"2908","OVEN","160","203","029","Red pine","9",0.0616881325366584,0,0.881707336994224,0.330758208715772,1.52591292420871,1.59003415677055,"91",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2012",70,180,8.7,100
"2919","OVEN","161","204","029","Red pine","9",0.00505396748493073,0,-0.867930659853561,1.75309316944614,-1.00532390498907,-1.48298666778228,"81",1,1,1,1,1,0,1,0,0,0,1,0,0,3,"2009",48,185,5.63333333333333,99
"2922","OVEN","161","204","029","Red pine","9",0.0616881325366584,0,-0.284717994237633,0.0462912165696997,1.45712931471964,-0.505207314515469,"85",1,1,0,1,1,0,0,0,0,1,0,0,0,2,"2010",55,179,8.61666666666667,100
"2923","OVEN","161","204","029","Red pine","9",-0.0515801975667969,0,-1.45114332546949,0.899692193007918,-1.14289112396721,-1.45793698414626,"79",1,3,0,1,2,1,0,0,1,0,0,0,0,4,"2008",48.1793326734363,182,5.46666666666667,98
"2925","OVEN","161","204","029","Red pine","9",0.231590627691841,0,1.46492000261015,-2.22944472059888,-1.6243763903907,-1.20362113827748,"87",0,3,1,0,3,0,0,1,0,0,0,0,0,4,"2013",50,171,4.88333333333333,103
"2926","OVEN","161","204","029","Red pine","9",0.174956462640114,0,0.881707336994224,0.330758208715772,2.24126246289503,2.14876521578016,"91",1,3,0,0,2,1,0,0,0,0,0,0,0,3,"2012",74,180,9.56666666666667,102
"2927","OVEN","161","204","029","Red pine","9",0.118322297588386,0,0.298494671378296,-0.807109759868518,1.64972342128903,0.0535237444941372,"87",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2011",59,176,8.85,101
"2929","OVEN","162","204","029","Red pine","9",0.0616881325366584,0,-0.284717994237633,0.0462912165696997,1.26453520815024,-0.64489007926787,"85",1,1,1,0,1,0,0,1,0,0,0,0,0,2,"2010",54,179,8.38333333333333,100
"2931","OVEN","162","204","029","Red pine","9",-0.0515801975667969,0,-1.45114332546949,0.899692193007918,-1.32172850863879,-1.54938865295651,"79",1,4,0,0,4,0,0,0,0,0,0,0,0,4,"2008",47.5246229175666,182,5.25,98
"2934","OVEN","162","204","029","Red pine","9",0.118322297588386,0,0.298494671378296,-0.807109759868518,1.44337259282182,0.0535237444941372,"87",1,1,0,0,1,0,0,0,0,0,0,0,0,1,"2011",59,176,8.6,101
"2935","OVEN","162","204","029","Red pine","9",0.00505396748493073,0,-0.867930659853561,1.75309316944614,-1.39051211812786,-1.48298666778228,"81",1,4,0,0,4,0,0,0,0,0,0,0,0,4,"2009",48,185,5.16666666666667,99
"2943","OVEN","162","204","029","Red pine","9",0.174956462640114,0,0.881707336994224,0.330758208715772,2.0073981906322,1.72971692152296,"91",1,0,1,0,0,0,1,0,0,0,0,0,0,1,"2012",71,180,9.28333333333333,102
"2947","OVEN","162","204","029","Red pine","9",0.231590627691841,0,1.46492000261015,-2.22944472059888,-1.40426884002567,-1.20362113827748,"87",0,1,0,0,0,1,0,0,0,0,0,0,0,1,"2013",50,171,5.15,103
"2956","OVEN","163","204","029","Red pine","9",0.231590627691841,0,1.46492000261015,-2.22944472059888,-1.21167473345628,-1.20362113827748,"87",0,2,1,0,2,0,0,1,0,0,0,0,0,3,"2013",50,171,5.38333333333333,103
"2959","OVEN","163","204","029","Red pine","9",0.00505396748493073,0,-0.867930659853561,1.75309316944614,-1.18416128966065,-1.48298666778228,"81",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2009",48,185,5.41666666666667,99
"2961","OVEN","163","204","029","Red pine","9",-0.0515801975667969,0,-1.45114332546949,0.899692193007918,-1.528079337106,-1.65490980927602,"79",1,4,0,0,4,0,0,0,0,0,0,0,0,4,"2008",46.7691885838708,182,5,98
"2963","OVEN","163","204","029","Red pine","9",0.174956462640114,0,0.881707336994224,0.330758208715772,1.82856080596061,1.86939968627536,"91",1,1,0,0,1,0,0,0,0,0,0,0,0,1,"2012",72,180,9.06666666666667,102
"2964","OVEN","163","204","029","Red pine","9",0.0616881325366584,0,-0.284717994237633,0.0462912165696997,1.08569782347866,-0.505207314515469,"85",1,0,1,2,0,0,0,1,1,0,1,0,0,3,"2010",55,179,8.16666666666667,100
"2965","OVEN","163","204","029","Red pine","9",0.118322297588386,0,0.298494671378296,-0.807109759868518,1.23702176435461,0.0535237444941372,"87",1,2,0,0,2,0,0,0,0,0,0,0,0,2,"2011",59,176,8.35,101
"2973","OVEN","164","202","029","Red pine","9",0.00505396748493073,0,0.298494671378296,-0.807109759868518,-0.345001253893997,1.03130309776095,"87",1,1,0,1,1,0,0,0,0,1,0,0,0,2,"2011",66,176,6.43333333333333,99
"2974","OVEN","164","202","029","Red pine","9",0.0616881325366584,0,0.881707336994224,0.330758208715772,0.177754178222935,0.751937568256145,"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"2012",64,180,7.06666666666667,100
"2977","OVEN","164","202","029","Red pine","9",-0.164848527670252,0,-1.45114332546949,0.899692193007918,1.93861458114313,0.117845616891829,"79",1,1,0,0,0,1,0,0,0,0,0,0,0,1,"2008",59.4604853899599,182,9.2,96
"2978","OVEN","164","202","029","Red pine","9",-0.108214362618525,0,-0.867930659853561,1.75309316944614,0.219024343916377,-0.784572844020272,"81",1,3,1,1,3,0,1,0,0,0,1,0,0,5,"2009",53,185,7.11666666666667,97
"2984","OVEN","164","202","029","Red pine","9",-0.0515801975667969,0,-0.284717994237633,0.0462912165696997,-0.455055029076509,-0.505207314515469,"85",1,1,0,0,1,0,0,0,0,0,0,0,0,1,"2010",55,179,6.3,98
"2985","OVEN","164","202","029","Red pine","9",0.118322297588386,0,1.46492000261015,-2.22944472059888,0.494158781872657,0.612254803503743,"87",0,1,0,0,1,0,0,0,0,0,0,0,0,1,"2013",63,171,7.45,101
"2987","OVEN","165","202","029","Red pine","9",-0.108214362618525,0,-0.867930659853561,1.75309316944614,0.425375172383587,-0.784572844020272,"81",1,3,1,0,3,0,1,0,0,0,0,0,0,4,"2009",53,185,7.36666666666667,97
"2991","OVEN","165","202","029","Red pine","9",0.00505396748493073,0,0.298494671378296,-0.807109759868518,-0.853999964113115,1.59003415677055,"87",1,1,0,0,1,0,0,0,0,0,0,0,0,1,"2011",70,176,5.81666666666667,99
"2992","OVEN","165","202","029","Red pine","9",0.118322297588386,0,1.46492000261015,-2.22944472059888,0.989400770193961,0.612254803503743,"87",0,3,0,1,2,1,0,0,1,0,0,0,0,4,"2013",63,171,8.05,101
"3001","OVEN","165","202","029","Red pine","9",-0.164848527670252,0,-1.45114332546949,0.899692193007918,1.34707553953712,-0.184648364557449,"79",1,2,1,0,2,0,1,0,0,0,0,0,0,3,"2008",57.2949069666987,182,8.48333333333333,96
"3003","OVEN","165","202","029","Red pine","9",-0.0515801975667969,0,-0.284717994237633,0.0462912165696997,-0.909026851704371,-0.505207314515469,"85",1,3,0,3,3,0,0,0,0,1,0,2,0,6,"2010",55,179,5.75,98
"3004","OVEN","165","202","029","Red pine","9",0.0616881325366584,0,0.881707336994224,0.330758208715772,-0.455055029076509,0.472572038751342,"91",1,1,1,1,1,0,0,1,0,0,0,1,0,3,"2012",62,180,6.3,100
